series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
3,6.0,558,ITEM,"Item 0558: Tribune negatives including child care rally, Sydney, New South Wales, August-September 1980",ON 160/Item 0558,1045936,110369911,IE4416848,August-September 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369911,http://archival.sl.nsw.gov.au/Details/archive/110369620,38,FL4416919|FL4416920|FL4416921|FL4416922|FL4416923|FL4416924|FL4416925|FL4416926|FL4416927|FL4416928|FL4416929|FL4416930|FL4416931|FL4416932|FL4416933|FL4416934|FL4416935|FL4416936|FL4416937|FL4416938|FL4416939|FL4416940|FL4416941|FL4416942|FL4416943|FL4416944|FL4416945|FL4416946|FL4416947|FL4416948|FL4416949|FL4416950|FL4416951|FL4416952|FL4416953|FL4416954|FL4416955|FL4416956,"Includes:|Rail parcels section, Sydney, September 1980|Hayden & Hawke, August 1980|Child care rally, Sydney, August 1980",,rallies|child-care workers,,
3,6.0,575,ITEM,"Item 0575: Tribune negatives including PSA and Tooheys Brewery pickets, Sydney, New South Wales, November 1980",ON 160/Item 0575,1045968,110369928,IE4418176,November 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369928,http://archival.sl.nsw.gov.au/Details/archive/110369620,40,FL4418234|FL4418235|FL4418236|FL4418237|FL4418239|FL4418240|FL4418242|FL4418243|FL4418245|FL4418247|FL4418249|FL4418250|FL4418252|FL4418254|FL4418256|FL4418257|FL4418258|FL4418259|FL4418260|FL4418261|FL4418262|FL4418264|FL4418265|FL4418266|FL4418268|FL4418270|FL4418271|FL4418272|FL4418273|FL4418275|FL4418277|FL4418279|FL4418282|FL4418283|FL4418285|FL4418286|FL4418287|FL4418288|FL4418289|FL4418290,"Includes:|PSA picket, Sydney, November 1980|Oakleigh tip, November 1980|Tooheys Brewery, Sydney, November 1980|Book store fire, November 1980",,pickets|public servants|brewery workers,,
3,6.0,577,ITEM,"Item 0577: Tribune negatives including Arbitration Commission march and support for Queensland dockies, November 1980",ON 160/Item 0577,1045970,110369930,IE4415195,November 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,38 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369930,http://archival.sl.nsw.gov.au/Details/archive/110369620,38,FL4415276|FL4415278|FL4415280|FL4415282|FL4415285|FL4415287|FL4415289|FL4415290|FL4415291|FL4415293|FL4415295|FL4415296|FL4415299|FL4415302|FL4415304|FL4415305|FL4415306|FL4415308|FL4415310|FL4415313|FL4415314|FL4415315|FL4415317|FL4415320|FL4415321|FL4415322|FL4415324|FL4415326|FL4415328|FL4415329|FL4415330|FL4415331|FL4415333|FL4415334|FL4415335|FL4415337|FL4415339|FL4415340,"Includes:|Metalworkers, Sydney, November 1980|Liberal rally, November 1980|Postal clerk (shirts protest), Haymarket, November 1980|Wollongong dockies support Queensland dockies, November 1980|Arbitration Commission march, November 1980",,demonstrations|workers,,
3,6.0,582,ITEM,"Item 0582: Tribune negatives including Victoria Rail train station workers demonstration, February 1981",ON 160/Item 0582,1045981,110369937,IE4415202,February 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369937,http://archival.sl.nsw.gov.au/Details/archive/110369620,41,FL4415284|FL4415286|FL4415288|FL4415292|FL4415294|FL4415297|FL4415298|FL4415300|FL4415301|FL4415303|FL4415307|FL4415309|FL4415311|FL4415312|FL4415316|FL4415318|FL4415319|FL4415323|FL4415325|FL4415327|FL4415332|FL4415336|FL4415338|FL4415343|FL4415346|FL4415348|FL4415353|FL4415355|FL4415357|FL4415360|FL4415361|FL4415363|FL4415364|FL4415365|FL4415367|FL4415368|FL4415369|FL4415372|FL4415373|FL4415375|FL4415378,"Includes:|Parramatta Park, February 1981|Victoria Rail train station workers, Unley, saving of line, February 1981|Grace Brothers, February 1981",,railway workers|demonstrations|railway stations,,
3,6.0,583,ITEM,"Item 0583: Tribune negatives including Tooheys and Tooths brewery demonstration, October-November 1980",ON 160/Item 0583,1045982,110369938,IE4414965,October-November 1980,1980-01-01 00:00:00,1980-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369938,http://archival.sl.nsw.gov.au/Details/archive/110369620,37,FL4415057|FL4415058|FL4415061|FL4415062|FL4415069|FL4415071|FL4415073|FL4415074|FL4415076|FL4415077|FL4415078|FL4415079|FL4415081|FL4415086|FL4415088|FL4415091|FL4415093|FL4415094|FL4415096|FL4415098|FL4415099|FL4415100|FL4415102|FL4415103|FL4415104|FL4415105|FL4415106|FL4415112|FL4415114|FL4415115|FL4415116|FL4415117|FL4415119|FL4415121|FL4415122|FL4415123|FL4415124,"Includes:|Tooheys & Tooths, Sydney, November 1980|Tribune raffle, seamen, November 1980|Seamen, Tribune raffle, November 1980|Brewery, 35 hours, October 1980",,demonstrations|brewery workers,,
3,6.0,585,ITEM,"Item 0585: Tribune negatives including Melbourne City Council demonstration over sackings, March-April 1981",ON 160/Item 0585,1045985,110369940,IE4418028,March-April 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369940,http://archival.sl.nsw.gov.au/Details/archive/110369620,35,FL4418135|FL4418136|FL4418137|FL4418139|FL4418140|FL4418149|FL4418153|FL4418156|FL4418158|FL4418159|FL4418160|FL4418162|FL4418163|FL4418164|FL4418165|FL4418166|FL4418167|FL4418168|FL4418169|FL4418170|FL4418171|FL4418172|FL4418173|FL4418174|FL4418175|FL4418179|FL4418180|FL4418182|FL4418185|FL4418187|FL4418190|FL4418205|FL4418208|FL4418211|FL4418215,"Includes:|Melbourne City Council demonstration over sackings, April 1981|Nuclear free zone meeting, Ivanhoe, April 1981|Blue Mountains, April 1981|International Women's Day, Sydney, March 1981",,demonstrations|council workers,,
3,6.0,590,ITEM,"Item 0590: Tribune negatives including Alcoa demonstration, Melbourne, Victoria and Mardi Gras, Sydney, New South Wales, 1981-1982",ON 160/Item 0590,1045992,110369946,IE4421980,1981-1982,1981-01-01 00:00:00,1982-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369946,http://archival.sl.nsw.gov.au/Details/archive/110369620,37,FL4422121|FL4422122|FL4422123|FL4422124|FL4422125|FL4422126|FL4422127|FL4422128|FL4422129|FL4422130|FL4422134|FL4422135|FL4422136|FL4422138|FL4422140|FL4422143|FL4422145|FL4422146|FL4422147|FL4422149|FL4422151|FL4422153|FL4422154|FL4422156|FL4422158|FL4422161|FL4422165|FL4422170|FL4422172|FL4422176|FL4422179|FL4422182|FL4422183|FL4422184|FL4422186|FL4422187|FL4422189,"Includes:|Polish solidarity posters, March 1982|Gay Mardi Gras, New South Wales, March 1981|Alcoa Melbourne demonstration, March 1981",,demonstrations|gays|workers|lesbians,,
3,6.0,592,ITEM,"Item 0592: Tribune negatives including Tooths, Tooheys demonstration and meeting, March 1981",ON 160/Item 0592,1045995,110369949,IE4420412,March 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369949,http://archival.sl.nsw.gov.au/Details/archive/110369620,35,FL4420521|FL4420522|FL4420524|FL4420526|FL4420528|FL4420530|FL4420531|FL4420534|FL4420536|FL4420537|FL4420538|FL4420539|FL4420540|FL4420542|FL4420543|FL4420544|FL4420545|FL4420546|FL4420549|FL4420551|FL4420552|FL4420553|FL4420554|FL4420556|FL4420558|FL4420561|FL4420564|FL4420566|FL4420568|FL4420571|FL4420572|FL4420573|FL4420574|FL4420578|FL4420579,"Includes:|Tooths & Tooheys - 35 hours week, March 1981",,brewery workers|demonstrations|meetings,,
3,6.0,594,ITEM,"Item 0594: Tribune negatives including Fox Manufacturing meeting, March 1981",ON 160/Item 0594,1045998,110369952,IE4422365,March 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,40 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369952,http://archival.sl.nsw.gov.au/Details/archive/110369620,40,FL4422484|FL4422485|FL4422486|FL4422487|FL4422488|FL4422489|FL4422490|FL4422491|FL4422492|FL4422493|FL4422494|FL4422495|FL4422496|FL4422497|FL4422498|FL4422499|FL4422500|FL4422501|FL4422502|FL4422503|FL4422504|FL4422505|FL4422506|FL4422507|FL4422508|FL4422509|FL4422510|FL4422511|FL4422515|FL4422516|FL4422517|FL4422518|FL4422520|FL4422521|FL4422523|FL4422525|FL4422526|FL4422528|FL4422529|FL4422531,"Includes:|Tasmania, milk cartoons demonstration, March 1981|Qantas stewards, March 1981|Fox Manufacturing, 35 hours, March 1981|Cliff Dolan, Qantas, March 1981",,meetings|workers,,
3,7.0,603,ITEM,"Item 0603: Tribune negatives including Fairfax Herald offices and staff, May 1981",ON 160/Item 0603,1046008,110369962,IE4423943,May 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,22 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369962,http://archival.sl.nsw.gov.au/Details/archive/110369621,22,FL4424018|FL4424019|FL4424020|FL4424021|FL4424023|FL4424025|FL4424027|FL4424028|FL4424029|FL4424031|FL4424032|FL4424034|FL4424036|FL4424038|FL4424039|FL4424040|FL4424041|FL4424042|FL4424046|FL4424049|FL4424051|FL4424053,"Includes:|Fairfax Herald 150th, May 1981|Herald 150th, Fairfax",,newspaper offices|mass media|workers,,
