name,count
"Walker, Alan, 1911-2003",1
Vietnam Moratorium Campaign (Australia),1
"Burchett, Wilfred, 1911-1983",1
"Australian Labor Party. New South Wales Branch. Conference. (1965 : Sydney, N.S.W.)",1
Tooheys Ltd.,1
"Fairbairn, Geoffrey (Geoffrey Forrester), 1924-1980",1
Trans Australia Airlines,1
"Brown, Billy",1
Broken Hill Proprietary Company,1
Tricolor (ship),1
"Briggs, Geraldine, 1910-2005",1
United Nations.,1
"Bradford, Colin",1
"Boyd, David",1
Boonaroo (cargo ship),1
"United States. Consulate (Sydney, N.S.W.)",1
"Utzon, Jorn, 1918-2008",1
"Blackshield, A. R. (Anthony Roland), 1937-",1
"Binge, Stanley",1
Victor Schoelcher (French warship),1
"Bennett, J. M.",1
"Beazley, Kim C. (Kim Christian), 1948-",1
"Bandler, Faith, 1918-2015",1
"Bacon, Wendy.",1
Australian Workers Union. New South Wales Branch,1
Sheet Metal Workers Union of Australia,1
Ford Motor Company of Australia,1
"Shearston, Gary, 1939-2013",1
"McCrae, Nita",1
Mayne Nickless Ltd.,1
"Mayers, Naomi, 1941-",1
Pan Am,1
"Matteson, Michael",1
"Peckham, Ray",1
Marrickville Margarine Ltd.,1
"Marks, Jack",1
Maritime Services Board of New South Wales,1
"Mandela, Nelson, 1918-",1
Malaita (ship),1
"Mackie, Pat, 1914-2009",1
"Mackay, Norm",1
"Lockwood, Rupert, 1908-1997",1
Peters Ice Cream Ltd.,1
"Lewis, Jeannie.",1
"Leppik, Raymond",1
Young Socialists,1
"Lenin, Vladimir Ilich, 1870-1924.",1
Labor Council of New South Wales,1
"Maza, Bob.",1
"Paine, Thomas, 1737-1809",1
Federated Ironworkers' Association of Australia,1
"Outhred, Alan",1
New South Wales Nurses' Association,1
"Munro, Matt, 1906-1980",1
"Munro, Julie",1
"Newfong, John, 1943-1999",1
"Moyes, John Stoward, 1884-1972",1
"Moyes, Bishop",1
"Morris, Bruce",1
Moresby (naval survey vessel),1
"Morcom, Elfrida",1
"Nixon, Richard M. (Richard Milhous), 1913-1994",1
"Noffs, Ted, 1926-1995",1
"Miles, John Bramwell",1
"O'Brien, Michael, 1900–1967",1
"Ormonde, James Patrick, 1905-",1
Meals On Wheels,1
"McPhillips, L. J.",1
"McMahon, William, 1908-1988",1
"McLean, Jean",1
Osipov (orchestra),1
"Petty, Bruce, 1929-",1
"Philip, Prince, consort of Elizabeth II, Queen of Great Britain, 1921-",1
"Kelly, J. H. (John Henry), 1895-1983",1
"Jones, Michael",1
"Haddrick, Ron",1
"Rose, Frederick G. G. (Frederick George Godfrey), 1915-1991",1
"Royal Easter Show (1967 : Sydney, N.S.W.)",1
"Gorham, Kathleen, 1932-1983",1
"Goldbloom, Sam",1
"Gifford, Charlie",1
"Gibson, Ralph, 1906-",1
"General Post Office (Sydney, N.S.W.)",1
"Saragat, Giuseppe",1
"Garrett, Peter, 1953-",1
"Gandhi, Indira, 1917-1984",1
"Gallagher, Bob",1
"Funde, Eddie",1
"Scots College (Bellevue Hill, N.S.W.)",1
"Franco, Francisco, 1892-1975",1
"Foley, Gary",1
"Fitzgibbon, Charlie, 1922-2001",1
"Searle, Betty",1
Federated Miscellaneous Workers' Union of Australia,1
"Hammond, Heather",1
"Hampson, Miriam",1
"Hardy, Frank (Francis Joseph), 1917-1994",1
"Hughes, T. E. F. (Thomas Eyre Forrest), 1923-",1
"Johnston, Elliott, 1918-2011",1
"Prasad, Nancy",1
"Johnson, Les",1
"Pringle, Robert Arthur, 1922-1996",1
Proclaim (ferry),1
Jeanne d'Arc (French warship),1
Ray Brown and the Whispers (musical group),1
Irish National Association of Australasia,1
"Regan, Lyn",1
"Roach, Edward Charles, 1909-1997",1
"Hobson, Albert",1
"Ho Chi Minh, 1890-1969",1
"Rigby, William Matthew, 1923-2003",1
"Heffernan, Jack, 1916-",1
"Healy, Patricia",1
"Healy, Jim, 1898-1961",1
"Hazard, Noel",1
"Haylen, Leslie",1
"2UW (Radio station : Sydney, N.S.W.)",1
