series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
1,10.0,454,ITEM,"Item 454: Tribune negatives including Student Representative Council meeting at the University of Sydney, Malcolm Salmon filling out an income tax form for illustration and a Communist Party of Australia branch meeting, June 1969",ON 161/Item 454,1343062,110374897,IE4561616,July 1969,1969-06-01 00:00:00,1969-06-30 00:00:00,26 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374897,http://archival.sl.nsw.gov.au/Details/archive/110374752,31,FL4561618|FL4561619|FL4561620|FL4561621|FL4561622|FL4561623|FL4561624|FL4561625|FL4561626|FL4561627|FL4561628|FL4561629|FL4561630|FL4561631|FL4561632|FL4561633|FL4561634|FL4561635|FL4561636|FL4561637|FL4561638|FL4561639|FL4561640|FL4561641|FL4561642|FL4561643|FL4561644|FL4561645|FL4561646|FL4561647|FL4561648,"Includes:|Student Representative Council meeting at the University of Sydney, Rows 1-3 and row 4, nos. 1-2.|Malcolm Salmon filling out an income tax form for illustration, Row 4, nos. 3-4 and row 5, nos. 1-2.|Communist Party of Australia branch meeting, Row 5, nos. 3-6 and row 6.",,meetings|university students|tax forms,"Salmon, Malcolm, 1925-1986|Communist Party of Australia",University of Sydney (N.S.W.)
1,10.0,488,ITEM,"Item 488: Tribune negatives including views of Sydney streets and buildings and political rally protesting the Vietnam War, The University of Sydney, ca. 1969",ON 161/Item 488,1344659,110375199,IE4564796,ca. 1969,1968-01-01 00:00:00,1970-01-01 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375199,http://archival.sl.nsw.gov.au/Details/archive/110374752,36,FL4564956|FL4564959|FL4564961|FL4564966|FL4564969|FL4564971|FL4564975|FL4564976|FL4564977|FL4564980|FL4564981|FL4564982|FL4564984|FL4564988|FL4564990|FL4564991|FL4564993|FL4564994|FL4564995|FL4564997|FL4564998|FL4565001|FL4565003|FL4565004|FL4565006|FL4565007|FL4565012|FL4565014|FL4565016|FL4565018|FL4565019|FL4565021|FL4565024|FL4565027|FL4565028|FL4565029,"Includes:|Views of Sydney streets and buildings|Speakers and audience at political rally protesting the Vietnam War, The University of Sydney, with banners reading ""Smash the draft"" and ""Bring our boys home"", ca. 1969",Anti-war demonstrations--New South Wales--Sydney.|Demonstrations--New South Wales--Sydney.,demonstrations|city & town buildings|groups (people)|banners|civil & political rights|portraits,,University of Sydney (N.S.W.)
1,10.0,489,ITEM,"Item 489: Tribune negatives including demonstration march and rally protesting the Vietnam War, Martin Place and The University of Sydney, Sydney, ca. 1969",ON 161/Item 489,1344710,110375207,IE4565277,ca. 1969,1968-01-01 00:00:00,1970-01-01 00:00:00,31 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375207,http://archival.sl.nsw.gov.au/Details/archive/110374752,34,FL4565364|FL4565366|FL4565367|FL4565369|FL4565371|FL4565372|FL4565373|FL4565374|FL4565376|FL4565379|FL4565381|FL4565383|FL4565386|FL4565389|FL4565390|FL4565391|FL4565392|FL4565394|FL4565396|FL4565397|FL4565399|FL4565400|FL4565401|FL4565404|FL4565407|FL4565410|FL4565412|FL4565417|FL4565420|FL4565422|FL4565423|FL4565424|FL4565425|FL4565426,"Includes:|Demonstration march protesting the Vietnam War, Martin Place, Sydney, ca. 1969|Speakers and audience at rally protesting the Vietnam War, The University of Sydney, ca. 1969","Anti-war demonstrations--New South Wales--Sydney.|Demonstrations--New South Wales--Sydney.|Vietnam War, 1961-1975--Protest movements--New South Wales--Sydney",portraits|war memorials|demonstrations|city & town streets|signs|civil & political rights|groups (people),,"Martin Place (Sydney, N.S.W.)|Cenotaph (Martin Place, Sydney, N.S.W.)|University of Sydney (N.S.W.)"
1,11.0,539,ITEM,"Item 539: Tribune negatives including demonstration at University of Sydney, 1970?",ON 161/Item 539,1342035,110374847,IE4565947,1970,1970-01-01 00:00:00,1970-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374847,http://archival.sl.nsw.gov.au/Details/archive/110374753,36,FL4566059|FL4566060|FL4566061|FL4566062|FL4566063|FL4566064|FL4566065|FL4566067|FL4566070|FL4566073|FL4566074|FL4566076|FL4566077|FL4566078|FL4566080|FL4566081|FL4566082|FL4566083|FL4566084|FL4566089|FL4566091|FL4566092|FL4566093|FL4566094|FL4566095|FL4566096|FL4566097|FL4566099|FL4566100|FL4566102|FL4566103|FL4566105|FL4566106|FL4566107|FL4566109|FL4566110,"Includes:|Student arrests in relation to Moratorium to End the War in Vietnam, Row 1 no. 1-4.|Speakers and attendees at unidentified class or lecture, at tables with large books, Row 1 no. 5-6, row 2 no. 1.|Speaker and audience at art gallery, including images of artwork, Row 2 no. 2-6, row 3, row 4 no. 1-2.|Women in black outfits with white headwear, chained to railings outside ANZ Bank, handing out pamphlets, Row 4 no. 3-6.|Demonstration with speakers outside Fisher Library and in quadrangle of Sydney University, Rows 5-6.",,arrests|demonstrations|art galleries|art,,University of Sydney (N.S.W.)
1,11.0,548,ITEM,"Item 548: Tribune negatives including 5th National Conference procession of the Union of Australian Women, n.d.",ON 161/Item 548,1342062,110374864,IE4565165,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374864,http://archival.sl.nsw.gov.au/Details/archive/110374753,36,FL4565241|FL4565242|FL4565243|FL4565244|FL4565245|FL4565246|FL4565247|FL4565248|FL4565249|FL4565250|FL4565251|FL4565252|FL4565253|FL4565254|FL4565255|FL4565256|FL4565257|FL4565258|FL4565259|FL4565260|FL4565261|FL4565262|FL4565263|FL4565264|FL4565265|FL4565266|FL4565267|FL4565268|FL4565269|FL4565270|FL4565271|FL4565272|FL4565273|FL4565274|FL4565275|FL4565276,"Includes:|Speakers and audience in unidentified hall, Row 1, row 2 no. 1-3.|Exterior of Australian Broadcasting Corporation buildings, Row 2 no. 4-6, row 3 no. 1.|Procession of the Union of Australian Women, 5th National Conference, down street into unidentified park, Row 3, no. 2-6, row 4 no. 1-2.|Speakers and audience on lawn outside Fisher Library at the University of Sydney, Row 4, no. 3-6, row 5 no. 1-5.",,meetings|processions|posters & placards|demonstrations|facades (places),Australian Broadcasting Corporation|Union of Australian Women,University of Sydney Library (N.S.W.)
1,12.0,551,ITEM,"Item 551: Tribune negatives including the exterior of the Resistance Third World Book Shop, and various demonstrations, n.d.",ON 161/Item 551,1342073,110374872,IE4564586,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374872,http://archival.sl.nsw.gov.au/Details/archive/110374754,36,FL4564694|FL4564695|FL4564697|FL4564700|FL4564702|FL4564703|FL4564706|FL4564708|FL4564710|FL4564713|FL4564715|FL4564718|FL4564726|FL4564729|FL4564731|FL4564733|FL4564736|FL4564738|FL4564740|FL4564742|FL4564745|FL4564748|FL4564752|FL4564753|FL4564755|FL4564757|FL4564759|FL4564762|FL4564764|FL4564766|FL4564772|FL4564774|FL4564776|FL4564780|FL4564782|FL4564785,"Includes:|Arrests by police of members at demonstration about Fascism, Row 1, row 2 no. 1-3.|Speaker and audience on lawn outside Fisher Library at the University of Sydney, Row 2 no. 4-6, row 3 no. 1-5.|Exterior of the Resistance Third World book shop, Row 3 no. 6, row 4 no. 1-3.|Demonstration about state aid and the Australian Labor Party on the steps of Sydney Town Hall, Row 4 no. 4-6, row 5 no. 1.|Demonstration and police arrests at unidentified public recreation grounds, Row 5 no. 2-6, row 6.",,demonstrations|bookshops|arrests|posters & placards|parks,Australian Labor Party,"Sydney Town Hall (Sydney, N.S.W.)|University of Sydney Library (N.S.W.)"
1,12.0,573,ITEM,"Item 573: Tribune negatives including demonstrations about the Vietnam War, 1970.",ON 161/Item 573,1344328,110374956,IE4568105,1970,1970-01-01 00:00:00,1970-12-31 00:00:00,23 negatives,http://archival.sl.nsw.gov.au/Details/archive/110374956,http://archival.sl.nsw.gov.au/Details/archive/110374754,29,FL4568154|FL4568156|FL4568157|FL4568159|FL4568161|FL4568163|FL4568164|FL4568167|FL4568168|FL4568170|FL4568171|FL4568173|FL4568174|FL4568176|FL4568177|FL4568178|FL4568179|FL4568180|FL4568182|FL4568184|FL4568186|FL4568188|FL4568190|FL4568193|FL4568195|FL4568196|FL4568198|FL4568201|FL4568204,"Includes:|Demonstration with police presence about the Vietnam Moratorium, September 1970, Rows 1-2, rows 5-6.|Demonstration at University of Sydney about the Vietnam War, Rows 3-4.",,posters & placards|banners|demonstrations|police,,University of Sydney (N.S.W.)
1,13.0,614,ITEM,"Item 614: Tribune negatives including various demonstrations, n.d.",ON 161/item 614,1344457,110375060,IE4576190,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375060,http://archival.sl.nsw.gov.au/Details/archive/110374766,36,FL4576326|FL4576327|FL4576328|FL4576334|FL4576337|FL4576341|FL4576350|FL4576353|FL4576365|FL4576368|FL4576369|FL4576372|FL4576379|FL4576381|FL4576384|FL4576390|FL4576392|FL4576398|FL4576400|FL4576402|FL4576409|FL4576414|FL4576416|FL4576417|FL4576419|FL4576421|FL4576424|FL4576431|FL4576438|FL4576441|FL4576443|FL4576449|FL4576451|FL4576453|FL4576454|FL4576458,"Includes:|Demonstration against racial segregation on The Strand outside the Dee Why Surf Life Saving Club, Rows 1-2.|Demonstration on unidentified wharves by the Waterside unions about democracy in Greece, Row 3 no. 5-6, row 4 no. 1-3.|Demonstration against apartheid from the University of Sydney through city streets, Rows 5-6.",,racial discrimination|jetties & wharves|demonstrations|apartheid|posters & placards|city & town streets,Dee Why Surf Life Saving Club (N.S.W.),Dee Why (N.S.W.)|University of Sydney (N.S.W.)
1,13.0,621,ITEM,"Item 621: Tribune negatives including demonstration by the Ex-Services Human Rights Association, n.d.",ON 161/Item 621,1344480,110375077,IE4574486,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,27 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375077,http://archival.sl.nsw.gov.au/Details/archive/110374766,31,FL4574559|FL4574560|FL4574561|FL4574563|FL4574564|FL4574567|FL4574569|FL4574571|FL4574573|FL4574575|FL4574576|FL4574577|FL4574578|FL4574580|FL4574582|FL4574584|FL4574585|FL4574587|FL4574590|FL4574591|FL4574593|FL4574594|FL4574595|FL4574597|FL4574598|FL4574600|FL4574601|FL4574602|FL4574604|FL4574605|FL4574607,"Includes:|Gentlemen seated at a conference desk during an unidentified meeting, Row 1 no. 5, row 2.|Speakers and audience, including a skit, on the lawn at the University of Sydney, Row 3, row 4 no. 1-2.|Demonstration and procession from the University of Sydney through city streets, by the Ex-Services Human Rights Association about the war in Indo-China, Row 4 no. 3-6, row 5, row 6 no. 1-2.",,meetings|public speaking|demonstrations|theatrical costumes|posters & placards|banners|city & town streets,,University of Sydney (N.S.W.)
1,13.0,622,ITEM,"Item 622: Tribune negatives including various demonstrations, n.d.",ON 161/Item 622,1344484,110375081,IE4573819,[n.d.],1970-01-01 00:00:00,1972-12-31 00:00:00,28 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375081,http://archival.sl.nsw.gov.au/Details/archive/110374766,32,FL4573854|FL4573855|FL4573856|FL4573857|FL4573858|FL4573859|FL4573860|FL4573861|FL4573862|FL4573863|FL4573864|FL4573865|FL4573866|FL4573867|FL4573868|FL4573869|FL4573870|FL4573871|FL4573872|FL4573873|FL4573874|FL4573875|FL4573876|FL4573877|FL4573878|FL4573879|FL4573880|FL4573881|FL4573882|FL4573883|FL4573884|FL4573885,"Includes:|Demonstration and procession from the University of Sydney through city streets, by the Ex-Services Human Rights Association about the war in Indo-China, Rows 1-4, row 5 no. 1-5.|Demonstration by workers down an unidentified city street, protesting the war in Indo-China, and working conditions and wages, Row 5 no. 6, row 6.",,demonstrations|city & town streets|Vietnam War|workers|posters & placards|banners,,University of Sydney (N.S.W.)
