series_number,part_number,item_number,level,title,call_number,object_number,priref,intellectual_entity,date_string,date_start,date_end,quantity,url,parent_url,number_images,images,description,subjects,topics,people,places
1,14.0,695,ITEM,"Item 695: Tribune negatives including general views: rally speakers, protesters & Aboriginal Tent Embassy, March-May, 1972",ON 161/695,965302,110366674,IE468006,"March-May, 1972",1972-03-01 00:00:00,1972-05-01 00:00:00,43 photographs,http://archival.sl.nsw.gov.au/Details/archive/110366674,http://archival.sl.nsw.gov.au/Details/archive/110366672,43,FL468008|FL468011|FL468013|FL468015|FL468017|FL468019|FL468021|FL468023|FL468025|FL468027|FL468029|FL468031|FL468033|FL468035|FL468036|FL468038|FL468040|FL468042|FL468044|FL468046|FL468048|FL468049|FL468051|FL468053|FL468055|FL468057|FL468059|FL468061|FL468062|FL468064|FL468066|FL468067|FL468069|FL468071|FL468072|FL468074|FL468076|FL468078|FL468080|FL468081|FL468084|FL468085|FL468087,"Image descriptions provided by cataloguer.|1. Naomi Mayers and ?|6-8. Protest outside Paliament house, Sydney over eviction notices issued in Purfleet and Woodenbong, April 1972.|19. Protest outside Paliament house, Sydney over eviction notices issued in Purfleet and Woodenbong, April 1972.|21-22. Portrait of draft resister Mike Matteson.|26. View of the Aboriginal Tent Embassy, Canberra.|32-33. Sam Watson and Bruce Morris outside the Aboriginal Tent Embassy, Canberra.|34-35. Man outside the Aboriginal Tent Embassy, Canberra.|36-37. Scenes showing the Aboriginal Tent Embassy and protesters, Canberra.|40. Parliament House, Canberra.|41-42. Scenes showing the Aboriginal Tent Embassy and protesters, Canberra.|43. Sam Watson and Bruce Morris outside the Aboriginal Tent Embassy, Canberra.",Aboriginal Australians--Land tenure.|Aboriginal Australians--Civil rights.|Australia--Race relations.,Aboriginal peoples (Australians),"Aboriginal Tent Embassy (Canberra, A.C.T.)|Craigie, Billy|Mayers, Naomi, 1941-|Watson, Sam, 1952-|Morris, Bruce|Matteson, Michael","Aboriginal Tent Embassy (Canberra, A.C.T.)"
1,15.0,706,ITEM,"Item 706: Tribune negatives including portraits of unidentified men, No Eviction On Aboriginal Land demonstration, anti-Liberal meeting and procession, 1972",ON 161/Item 706,1344470,110375069,IE4580049,1972,1972-05-30 00:00:00,1972-05-30 00:00:00,36 negatives,http://archival.sl.nsw.gov.au/Details/archive/110375069,http://archival.sl.nsw.gov.au/Details/archive/110366677,36,FL4580125|FL4580126|FL4580127|FL4580128|FL4580129|FL4580130|FL4580131|FL4580132|FL4580133|FL4580134|FL4580135|FL4580136|FL4580137|FL4580138|FL4580139|FL4580140|FL4580141|FL4580142|FL4580143|FL4580144|FL4580145|FL4580146|FL4580147|FL4580148|FL4580149|FL4580150|FL4580151|FL4580152|FL4580153|FL4580154|FL4580155|FL4580156|FL4580157|FL4580158|FL4580159|FL4580160,"Original negative sleeve titled: Aboriginal Demo 30/5/1972|Includes:|Portraits of unidentified men, Row 1 no. 2-5.|No Eviction On Aboriginal Land demonstration outside Housing Commission and State Planning Authority, Row 1 no. 6, row 2, row 3 no. 1.|Anti-Liberal meeting and procession, overflow from the meeting outside the building with posters and placards, with banners reading ""defeat Lynch law now"", ""out the Libs in 72"", ""Unite and defeat the McMahon govt"", row 3 no. 2-6, rows 4-5, row 6 no. 1-5.",,portraits|posters & placards|evictions|processions|demonstrations|audiences|police cars,"Liberal Party of Australia.|McMahon, William, 1908-1988",
3,2.0,382,ITEM,"Item 0382: Tribune negatives including disarmament rally, Sydney, New South Wales, November 1978",ON 160/Item 0382,1045565,110369615,IE4373180,November 1978,1978-01-01 00:00:00,1978-12-31 00:00:00,33 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369615,http://archival.sl.nsw.gov.au/Details/archive/110369583,33,FL4373276|FL4373280|FL4373281|FL4373284|FL4373286|FL4373288|FL4373290|FL4373292|FL4373295|FL4373297|FL4373300|FL4373301|FL4373302|FL4373305|FL4373307|FL4373310|FL4373311|FL4373312|FL4373315|FL4373318|FL4373320|FL4373322|FL4373324|FL4373326|FL4373328|FL4373330|FL4373334|FL4373336|FL4373338|FL4373339|FL4373340|FL4373341|FL4373342,"Includes:|Glebe evictions, November 1978|Hollandia, South Australia land scandal, November 1978|Disarmament rally, Sydney, November 1978",,rallies|disarmament,,
3,6.0,559,ITEM,"Item 0559: Tribune negatives including Carol O'Donnell, Denis Freney, Brian McGahen, Vicki Wooten, Brian Aarons and Geoff Evans, 1980-1981",ON 160/Item 0559,1045937,110369912,IE4416963,1980-1981,1980-01-01 00:00:00,1981-12-31 00:00:00,42 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369912,http://archival.sl.nsw.gov.au/Details/archive/110369620,42,FL4417070|FL4417071|FL4417073|FL4417075|FL4417076|FL4417082|FL4417084|FL4417086|FL4417088|FL4417091|FL4417093|FL4417094|FL4417096|FL4417097|FL4417099|FL4417100|FL4417102|FL4417103|FL4417109|FL4417111|FL4417113|FL4417115|FL4417117|FL4417119|FL4417120|FL4417123|FL4417127|FL4417132|FL4417134|FL4417137|FL4417138|FL4417140|FL4417141|FL4417143|FL4417146|FL4417147|FL4417149|FL4417151|FL4417153|FL4417155|FL4417156|FL4417157,"Includes:|Rank & File Conference theatre, Sydney, September 1980|Carol O'Donnell, August 1980|Wendy's shoe, August 1980|Denis Freney, August 1980|Leichhardt nuke-free zone, August 1980|Brian McGahen, outside labor conference, August 1980|Tribune workers, layout & typesetting, July 1980|Vicki Wooten, August 1980|Brian Aarons, August 1980|Housing eviction, Cleveland Street, Redfern, May 1981|Geoff Evans, August 1980",,men|women,,
3,6.0,591,ITEM,"Item 0591: Tribune negatives including public transport demonstrations, Melbourne, Victoria, March 1981",ON 160/Item 0591,1045994,110369948,IE4416378,March 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,34 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369948,http://archival.sl.nsw.gov.au/Details/archive/110369620,34,FL4416415|FL4416416|FL4416417|FL4416418|FL4416419|FL4416420|FL4416421|FL4416422|FL4416423|FL4416424|FL4416425|FL4416426|FL4416427|FL4416428|FL4416429|FL4416430|FL4416431|FL4416432|FL4416433|FL4416434|FL4416435|FL4416436|FL4416437|FL4416438|FL4416439|FL4416440|FL4416441|FL4416442|FL4416443|FL4416444|FL4416445|FL4416446|FL4416447|FL4416448,"Includes:|Melbourne public transport, Coburg line, March 1981|Niche and evictions, Sydney, March 1981|Ningana and evictions, Sydney, March 1981",,demonstrations|demonstrators (political),,
3,6.0,595,ITEM,"Item 0595: Tribune negatives including Surry Street evictions, Sydney, New South Wales, March 1981",ON 160/Item 0595,1045999,110369953,IE4422197,March 1981,1981-01-01 00:00:00,1981-12-31 00:00:00,37 negatives,http://archival.sl.nsw.gov.au/Details/archive/110369953,http://archival.sl.nsw.gov.au/Details/archive/110369620,37,FL4422363|FL4422364|FL4422368|FL4422371|FL4422372|FL4422374|FL4422375|FL4422378|FL4422379|FL4422381|FL4422383|FL4422385|FL4422387|FL4422389|FL4422390|FL4422392|FL4422394|FL4422395|FL4422397|FL4422399|FL4422402|FL4422403|FL4422405|FL4422408|FL4422411|FL4422413|FL4422414|FL4422416|FL4422418|FL4422420|FL4422423|FL4422425|FL4422428|FL4422431|FL4422432|FL4422434|FL4422436,"Includes:|Fresno city ship, Sydney, March 1981|Surry Street evictions, Sydney, March 1981|Teachers, Melbourne, March 1981|Grace Brothers, Sydney, March 1981",,city & town streets|evictions|communities,,
3,12.0,868,ITEM,"Item 0868: Tribune negatives including Helen Boyle press conference and eviction of squatters, Glebe, New South Wales, 1985",ON 160/Item 0868,1055052,110370482,IE4467925,1985,1985-01-01 00:00:00,1985-12-31 00:00:00,35 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370482,http://archival.sl.nsw.gov.au/Details/archive/110369627,35,FL4467988|FL4467995|FL4467999|FL4468002|FL4468007|FL4468012|FL4468016|FL4468018|FL4468019|FL4468020|FL4468021|FL4468022|FL4468023|FL4468025|FL4468026|FL4468027|FL4468028|FL4468029|FL4468030|FL4468031|FL4468032|FL4468033|FL4468034|FL4468036|FL4468037|FL4468038|FL4468039|FL4468040|FL4468041|FL4468043|FL4468044|FL4468045|FL4468046|FL4468049|FL4468052,"Includes:|Squats, Glebe just before first evictions, early 1985|SEQUEB support rally, Laing Park, August 1985|Glebe Squats, first evictions (just 64), early 1985|Helen Boyle, press conference, 1985|Original negative sleeve titled first evictions from Glebe squatts, early '85, Helen Boyle - press conf. after return from Cuba, Laing Pk rally - SEQUEB support Aug 20 '85",,press conferences|evictions|vandalised buildings,,
3,13.0,915,ITEM,"Item 0915: Tribune negatives including house eviction, Glebe, New South Wales and soup kitchen, 1984-1985",ON 160/Item 0915,1055164,110370554,IE690939,1984-1985,1984-01-01 00:00:00,1985-12-31 00:00:00,16 transparencies,http://archival.sl.nsw.gov.au/Details/archive/110370554,http://archival.sl.nsw.gov.au/Details/archive/110369628,23,FL691025|FL691027|FL691029|FL691031|FL691032|FL691034|FL691036|FL691038|FL691039|FL691041|FL691043|FL691045|FL691047|FL691049|FL691051|FL691052|FL691054|FL691056|FL691058|FL691059|FL691061|FL691062|FL691064,"Includes:|Glebe evictions, 1984/1985|Soup kitchen|Squats, Glebe Evictions, 1984/1985|Original negative sleeve titled Soup kitchen, Glebe evictions '84/'85",,evictions|soup kitchens,,
3,14.0,989,ITEM,"Item 0989: Tribune negatives including nurses protests, Victoria, November 1986",ON 160/Item 0989,1055339,110370678,IE4470565,November 1986,1986-01-01 00:00:00,1986-12-31 00:00:00,41 negatives,http://archival.sl.nsw.gov.au/Details/archive/110370678,http://archival.sl.nsw.gov.au/Details/archive/110369629,41,FL4470654|FL4470656|FL4470658|FL4470660|FL4470661|FL4470662|FL4470663|FL4470664|FL4470665|FL4470666|FL4470667|FL4470668|FL4470669|FL4470670|FL4470674|FL4470675|FL4470679|FL4470680|FL4470682|FL4470684|FL4470686|FL4470688|FL4470691|FL4470694|FL4470696|FL4470699|FL4470702|FL4470712|FL4470714|FL4470715|FL4470718|FL4470720|FL4470724|FL4470727|FL4470728|FL4470730|FL4470731|FL4470732|FL4470735|FL4470737|FL4470739,"Includes:|Glebe squats, last evictons, November 1986|Feminist challenges book launch, November 1986|Nurses, Victoria, November 1986|Spanish Civil War Conference, November 1986|Women's Dance, Skid Row, Bondi, November 1986|Original negative sleeve titled Vic nurses Nov '86, Spanish Civil War Conf Nov '86 Syd., Glebe squats - last evictions, Book launch - feminist challenges, Women's dance - Radio Skid Row - Bondi",,nurses|demonstrations,,
